sra:SRR2063294	SRP059509-SRR2063294
sra:SRR2063295	SRP059509-SRR2063295
sra:SRR2063296	SRP059509-SRR2063296
sra:SRR2063297	SRP059509-SRR2063297
sra:SRR2063298	SRP059509-SRR2063298
sra:SRR2063299	SRP059509-SRR2063299
sra:SRR2063300	SRP059509-SRR2063300
sra:SRR2063301	SRP059509-SRR2063301
sra:SRR2063302	SRP059509-SRR2063302
sra:SRR2063303	SRP059509-SRR2063303
sra:SRR2063304	SRP059509-SRR2063304
sra:SRR2063305	SRP059509-SRR2063305
sra:SRR2063306	SRP059509-SRR2063306
sra:SRR2063307	SRP059509-SRR2063307
sra:SRR2063308	SRP059509-SRR2063308
sra:SRR2063309	SRP059509-SRR2063309
sra:SRR2063310	SRP059509-SRR2063310
sra:SRR2063311	SRP059509-SRR2063311
sra:SRR2063312	SRP059509-SRR2063312
sra:SRR2063313	SRP059509-SRR2063313
sra:SRR2063314	SRP059509-SRR2063314
sra:SRR2063315	SRP059509-SRR2063315
sra:SRR2063316	SRP059509-SRR2063316
sra:SRR2063317	SRP059509-SRR2063317
sra:SRR2063318	SRP059509-SRR2063318
sra:SRR2063319	SRP059509-SRR2063319
sra:SRR1976543	SRP057261-SRR1976543
sra:SRR1976571	SRP057261-SRR1976571
sra:SRR1976588	SRP057261-SRR1976588
sra:SRR1976589	SRP057261-SRR1976589
sra:SRR1976590	SRP057261-SRR1976590
sra:SRR1976591	SRP057261-SRR1976591
sra:SRR1976592	SRP057261-SRR1976592
sra:SRR1976593	SRP057261-SRR1976593
sra:SRR1976594	SRP057261-SRR1976594
sra:SRR1976595	SRP057261-SRR1976595
sra:SRR1976596	SRP057261-SRR1976596
sra:SRR1976597	SRP057261-SRR1976597
sra:SRR3932662	SRP057261-SRR3932662
sra:SRR3932663	SRP057261-SRR3932663
sra:SRR3932664	SRP057261-SRR3932664
sra:SRR3932665	SRP057261-SRR3932665
sra:SRR3932666	SRP057261-SRR3932666
sra:SRR3932667	SRP057261-SRR3932667
sra:SRR3932668	SRP057261-SRR3932668
sra:SRR3932669	SRP057261-SRR3932669
sra:SRR3932670	SRP057261-SRR3932670
sra:SRR3932671	SRP057261-SRR3932671
sra:SRR3932672	SRP057261-SRR3932672
sra:ERR505204	ERP005852-ERR505204
sra:ERR505210	ERP005852-ERR505210
sra:ERR505208	ERP005852-ERR505208
sra:ERR505201	ERP005852-ERR505201
sra:ERR505211	ERP005852-ERR505211
sra:ERR505205	ERP005852-ERR505205
sra:ERR505212	ERP005852-ERR505212
sra:SRR1947324	SRP056191-SRR1947324
sra:SRR1947325	SRP056191-SRR1947325
sra:SRR1947327	SRP056191-SRR1947327
sra:SRR1916368	SRP056191-SRR1916368
sra:SRR1947322	SRP056191-SRR1947322
sra:SRR1947323	SRP056191-SRR1947323
sra:SRR1916262	SRP056191-SRR1916262
sra:SRR1947328	SRP056191-SRR1947328
sra:SRR1947329	SRP056191-SRR1947329
sra:SRR1916367	SRP056191-SRR1916367
sra:SRR1947294	SRP056191-SRR1947294
sra:SRR1947316	SRP056191-SRR1947316
sra:ERR1197705	ERP013684-ERR1197705
sra:ERR1197706	ERP013684-ERR1197706
sra:SRR2075552	SRP059792-SRR2075552
sra:SRR2075553	SRP059792-SRR2075553
sra:SRR2075554	SRP059792-SRR2075554
sra:SRR2075561	SRP059792-SRR2075561
sra:SRR2075562	SRP059792-SRR2075562
sra:SRR2075563	SRP059792-SRR2075563
sra:SRR2075571	SRP059792-SRR2075571
sra:SRR2075572	SRP059792-SRR2075572
sra:SRR2075573	SRP059792-SRR2075573
sra:SRR2075564	SRP059792-SRR2075564
sra:SRR2075565	SRP059792-SRR2075565
sra:SRR2075566	SRP059792-SRR2075566
sra:SRR578602	SRP015959-SRR578602
sra:SRR578603	SRP015959-SRR578603
sra:SRR578604	SRP015959-SRR578604
